id,tipo,numero,anio,fecha,titulo,len_contenido,chars_texto,paginas,pdf_local,inicio
347,circular,1,2015,2015-01-02,Circular N° 1 del 02 de Enero del 2015,90063,90063,19,pdfs/circular/2015/circular_2015_0001.pdf,"1 
 
 DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
 
CIRCULAR N° 1 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 02 de enero de 2015 
MATERIA: Instruye sobre las modificaciones 
introducidas por la Ley N° 20.780, a la Ley 
sobre Impuesto a la Renta y otras normas 
legales que se indican, "
167,circular,19,2013,2013-04-15,Circular N° 19 del 15 de Abril del 2013,85933,85933,23,pdfs/circular/2013/circular_2013_0019.pdf,"1 
 
 
DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
 
CIRCULAR N° 19 
80-2012 ID 
07-2012 SN Circ. 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 15 de abril de 2013.- 
MATERIA: Instruye sobre la aplicación de los 
beneficios tributarios por la inversión privada en 
Investigación y Desarroll"
306,circular,42,2015,2015-06-05,Circular N° 42 del 05 de Junio del 2015,84896,84896,25,pdfs/circular/2015/circular_2015_0042.pdf,"029-2015 II (009-2015 Circ-SN) 
DEPARTAMENTO EMISOR 
IMPUESTOS INDIRECTOS 
CIRCULAR N° 42.- 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 05 de junio de 2015 
MATERIA: 
Modificaciones introducidas por la Ley N° 20.780, 
de 29 de septiembre de 2014, a los artículos 2°, 
8°, 9°, 12° letra F, 16"
248,circular,8,2014,2014-02-07,Circular N° 8 del 07 de Febrero del 2014,84192,84192,20,pdfs/circular/2014/circular_2014_0008.pdf,"DEPARTAMENTO EMISOR 
 IMPUESTOS DIRECTOS 
1875 
 
 
CIRCULAR N°08.- 
02.2013 SN 
140.2012 ID 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 07 de febrero de 2014.- 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 20.630 a la Ley sobre 
Impuesto a la Renta (LIR), relacionada"
222,circular,34,2014,2014-06-05,Circular N° 34 del 05 de Junio del 2014,79012,79012,22,pdfs/circular/2014/circular_2014_0034.pdf,"11 
 
DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 34 
09-2013 SN (Circ) 
74-2013 ID 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 05 de junio de 2014.- 
MATERIA: Instruye sobre el tratamiento tributario 
de las donaciones con Fines Culturales, a raíz de 
la sustitución del artí"
340,circular,8,2015,2015-01-16,Circular N° 8 del 16 de Enero del 2015,76128,76128,21,pdfs/circular/2015/circular_2015_0008.pdf,"1 
 
DEPARTAMENTO EMISOR: 
SUBDIRECCIÓN JURÍDICA 
DEPARTAMENTO DE ASESORÍA JURÍDICA 
 
CIRCULAR N° 8 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 16 de enero de 2015 
 
MATERIA: 
Imparte 
instrucciones 
sobre 
el 
sistema de declaración voluntaria y extraordinaria 
para el pago del impuesto "
186,circular,70,2014,2014-12-31,Circular N° 70 del 31 de Diciembre del 2014,75387,75387,25,pdfs/circular/2014/circular_2014_0070.pdf,"1 
 
 DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
 
CIRCULAR N° 70 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 31 de diciembre de 2014 
MATERIA: Instruye sobre el régimen opcional y 
transitorio, vigente durante el año comercial 
2015, de pago sobre las rentas acumuladas en 
el FUT al "
398,circular,21,2016,2016-04-19,Circular N° 21 del 19 de Abril del 2016,73995,73995,19,pdfs/circular/2016/circular_2016_0021.pdf,"DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
 
CIRCULAR N° 21.- 
13.2016 Circ. SN 
28.2016 ID 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 19 de abril de 2016.- 
MATERIA: Instruye sobre la vigencia y transición 
de las normas contenidas en la Ley N° 20.899, de 
8 de febrero de 2016, que si"
379,circular,40,2016,2022-10-12,Circular N° 40 del 08 de Julio del 2016,72318,72318,19,pdfs/circular/2016/circular_2016_0040.pdf,"1 
Complementada por Circular N° 48, del 12 de octubre de 2022
Complementada por Circular N° 45, del 7 de julio de 2020
DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
1875 
CIRCULAR N° 40.- 
4-2016 SN 
14-2016 ID 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 08 de julio de 2016.- 
MATERIA: Instruccion"
157,circular,29,2013,2013-06-14,Circular N° 29 del 14 de Junio del 2013,69467,69467,18,pdfs/circular/2013/circular_2013_0029.pdf,"1 
DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
FISCALIZACIÓN INTERNACIONAL 
1875 
CIRCULAR N° 29 
145-2012 ID 
07-2013 SN 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 14 de junio de 2013.- 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 20.630, a las normas 
sobre precios "
