sii_id,codigo,fecha,corte,instancia,resumen
15780,270-2018,2019-11-12,Corte de Apelaciones,Corte de Apelaciones de Santiago,Tasación Artículo 35 Ley sobre Impuesto a la Renta
15928,19-2019,2020-09-28,Corte de Apelaciones,Corte de Apelaciones de La Serena,Resolución reclamable – Incompetencia para resolver una solicitud de devolución – Artículos 124 y 126 del Código Tributario
15960,9-2020,2020-09-30,Corte de Apelaciones,Corte de Apelaciones de Puerto Montt,"Mayor valor en el rescate de cuotas de participación del cooperado – Gastos rechazados – Artículos 50 y 51 de la Ley General de Cooperativas – Artículo 8 del D.S. N° 1.139, del Min"
15985,83-2019,2020-08-06,Corte de Apelaciones,Corte de Apelaciones de Concepción,CODIGO
16007,27-2019,2020-08-21,Corte de Apelaciones,Corte de Apelaciones de La Serena,Reintegro Ley de la Renta
16043,83-2019,2020-08-18,Corte de Apelaciones,Corte de Apelaciones de Santiago,Nulidad de la notificación de las liquidaciones Carga de la prueba – Artículo 83 del Código de Procedimiento Civil – Artículo 21 del Código Tributario
16121,87-2019,2020-10-22,Corte de Apelaciones,Corte de Apelaciones de Concepción,Indemnización voluntaria - Gastos rechazados- Artículo 31 Nº 6 de la Ley sobre Impuesto a la Renta
16123,6-2020,2020-10-23,Corte de Apelaciones,Corte de Apelaciones de Iquique,"Crédito Fiscal IVA – Costos – Gastos – Facturas Falsas – Artículo 23 N° 5 de la Ley sobre Impuesto a las Ventas y Servicios – Artículos 29, 30 y 31 de la Ley sobre Impuesto a la Re"
16360,32-2019,2020-06-25,Corte de Apelaciones,Corte de Apelaciones de Temuco,Actos Reclamables - Procedimiento de Reclamo de los Avalúos de Bienes Raíces - Inadmisibilidad
16408,128-2019,2020-06-17,Corte Suprema,Corte Suprema,"Derecho a crédito fiscal – Gastos – Impuesto Global Complementario de los socios – Artículo 23 N° 5 de la Ley sobre Impuesto a las Ventas y Servicios – Artículos 21 inciso 1, 33 N°"
16462,26-2019,2020-11-25,Corte de Apelaciones,Corte de Apelaciones de Talca,Diferencias de Impuesto Territorial - Artículos 10 y 13 de la Ley Nº 17.235
16463,9-2020,2020-11-17,Corte de Apelaciones,Corte de Apelaciones de Punta Arenas,se confirma Recurso de Apelación
17421,11-2022,2022-10-14,Corte de Apelaciones,Corte de Apelaciones de Arica,Nulidad de la citación y las liquidaciones
20240,8-2023,2024-06-11,Corte de Apelaciones,Corte de Apelaciones de Puerto Montt,Prescripción extraordinaria - Facturas falsas - Dolo civil - Maliciosamente falsa - Impuesto único
20463,75-2024,2024-07-15,Corte de Apelaciones,Corte de Apelaciones de Santiago,Tasación - Nuda propiedad - mayor valor
22737,8-2025,2025-09-04,Corte de Apelaciones,Corte de Apelaciones de San Miguel,Nulidad de Derecho Público – Vicios en Liquidación – Principio de inexcusabilidad – Nulidad de todo lo obrado
